Item,Collection,Rarity,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS
AK-47_Asiimov,Danger_Zone,Covert,0.05,0.70,10/03/2024 21:05:00,USD,192.79,56.17,27.00,33.70,18.87
AWP_Neo-Noir,Danger_Zone,Covert,0,0.5,10/03/2024 21:06:00,USD,33.32,26.94,21.90,21.06,22.47
M4A4_Neo-Noir,Clutch,Covert,0,0.9,10/03/2024 20:05:00,USD,31.08,11.80,5.48,4.92,4.9
MP7_Bloodsport,Clutch,Covert,0,0.65,10/03/2024 20:06:00,USD,3.41,1.86,1.34,4.14,1.54
