Item,Collection,Rarity,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS
USP-S_Flashback,Danger_Zone,Restricted,,,2024-03-20 20:16:30,USD,1.34,0.75,0.51,2.81,1.41
M4A1-S_Emphorosaur-S,Revolution,Restricted,,,2024-03-20 21:03:46,USD,3.38,1.50,0.59,0.99,0.66
Glock-18_Umbral_Rabbit,Revolution,Restricted,,,2024-03-20 21:36:19,USD,1.92,0.87,0.44,0.33,0.34
MAC-10_Sakkaku,Revolution,Restricted,,,2024-03-20 21:34:51,USD,,,1.06,0.45,0.30
P90_Neoqueen,Revolution,Restricted,,,2024-03-20 21:41:12,USD,1.73,1.06,0.40,0.47,0.62
R8_Revolver_Banana_Cannon,Revolution,Restricted,,,2024-03-20 21:54:10,USD,2.23,0.82,0.57,0.30,0.31
