item,collection,quality,fn,mw,ft,ww,bs
MP5-SD_Phosphor,Danger_Zone,Classified,553480505,553480463,553480491,553480920,553480638
Desert_Eagle_Mecha_Industries,Danger_Zone,Classified,553480462,553480499,553480461,553480626,553480595
UMP-45_Momentum,Danger_Zone,Classified,553480497,553480518,553480519,553480627,553480758
USP-S_Cortex,Clutch,Classified,553466028,553465847,553465839,553466015,553465833
AWP_Mortis,Clutch,Classified,553465828,553465851,553465901,553466045,553465823
AUG_Stymphalian,Clutch,Classified,553465870,553465811,553465842,553465886,553466023
P2000_Wicked_Sick,Revolution,Classified,1098086566224830464,1098084195502305280,1098196531624951808,1098109666204991488,1098063386925744128
UMP-45_Wild_Child,Revolution,Classified,1098680242659246080,1098229813539311616,1098220895144579072,1098085573119250432,1098429139711795200
AWP_Duality,Revolution,Classified,1100254007665070080,1100271638958804992,1100260061008883713,1100639951147749376,1100386859450863616
