Item,Collection,Rarity,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS,FN_Site,MW_Site,FT_Site,WW_Site,BS_Site
AK-47_Head_Shot,Revolution,Covert,0.0,1.0,2024-04-17 00:11:37,USD,62.1673,30.2446,13.4904,7.9376,6.0544,A_DM,A_DM,A_Port,A_Port,A_Port
Five-SeveN_Angry_Mob,Prisma,Covert,0.0,0.7,2024-04-17 09:41:21,USD,10.2044,5.0149,2.5123,2.8324,2.5872,A_DM,A_DM,A_DM,A_DM,A_Port
M4A4_Eye_of_Horus,Anubis,Covert,0.0,0.7,2024-04-17 00:20:43,USD,716.733,408.1,228.4738,203.7,124.1503,A_DM,A_Port,A_DM,A_DM,A_DM
M4A4_Temukau,Revolution,Covert,0.0,0.8,2024-04-17 00:14:47,USD,118.1266,53.9126,15.423,12.0862,6.5824,A_DM,A_DM,A_DM,A_DM,A_Port
M4A4_The_Emperor,Prisma,Covert,0.0,0.8,2024-04-17 09:44:25,USD,111.259,36.1422,10.088,9.5157,6.3624,A_DM,A_DM,A_DM,A_DM,A_Port
