Item,Collection,Rarity,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS
AK-47_Head_Shot,Revolution,Covert,0.00,1.00,2024-04-17 00:11:37,USD,64.09,31.18,13.79,8.11,6.17
M4A4_Temukau,Revolution,Covert,0.00,0.80,2024-04-17 00:14:47,USD,121.78,55.58,15.9,12.46,6.46
M4A4_Eye_of_Horus,Anubis,Covert,0.00,0.70,2024-04-17 00:20:43,USD,738.9,395,235.54,210,127.99
Five-SeveN_Angry_Mob,Prisma,Covert,0.00,0.70,2024-04-17 09:41:21,USD,10.52,5.17,2.59,2.92,2.19
M4A4_The_Emperor,Prisma,Covert,0.00,0.80,2024-04-17 09:44:25,USD,114.7,37.26,10.4,9.81,6.34
