Item,FN,MW,FT,WW,BS
AWP_Wildfire,773715,773720,773698,773734,773691
AWP_Worm_God,34143,34145,34144,34146,Null
CZ75-Auto_Army_Sheen,34276,34278,34277,Null,Null
CZ75-Auto_Chalice,34279,34280,Null,Null,Null
CZ75-Auto_Circaetus,857533,857588,857558,857625,857557
CZ75-Auto_Crimson_Web,34282,34284,34283,34285,34281
CZ75-Auto_Distressed,779232,779222,779179,779189,779185
CZ75-Auto_Eco,759240,759198,759225,759241,759239
CZ75-Auto_Emerald,34286,34287,Null,Null,Null
CZ75-Auto_Emerald_Quartz,776097,775112,775092,776678,775930
CZ75-Auto_Framework,871456,871225,871195,871566,871507
CZ75-Auto_Green_Plaid,34289,34291,34290,34292,34288
CZ75-Auto_Hexane,34293,34295,34294,34296,Null
CZ75-Auto_Imprint,34298,34300,34299,34301,34297
CZ75-Auto_Indigo,775742,774956,774905,775469,774749
CZ75-Auto_Jungle_Dashed,835563,835370,835358,835384,835390
CZ75-Auto_Midnight_Palm,871341,871124,871155,871227,871372
CZ75-Auto_Nitro,34303,34305,34304,34306,34302
CZ75-Auto_Poison_Dart,34308,34310,34309,34311,34307
CZ75-Auto_Pole_Position,34313,34315,34314,34316,34312
CZ75-Auto_Polymer,34318,34319,33822,34320,34317
CZ75-Auto_Red_Astor,34322,34324,34323,34325,34321
CZ75-Auto_Silver,835438,835742,Null,Null,Null
CZ75-Auto_Syndicate,871122,871640,871326,871840,871352
CZ75-Auto_Tacticat,34327,34329,34328,34330,34326
CZ75-Auto_The_Fuschia_Is_Now,34331,34333,34332,34334,Null
CZ75-Auto_Tigris,34336,34338,34337,34339,34335
CZ75-Auto_Tread_Plate,34340,34342,34341,Null,Null
CZ75-Auto_Tuxedo,34344,34346,34345,34347,34343
CZ75-Auto_Twist,34349,34351,34350,34352,34348
CZ75-Auto_Vendetta,835585,835472,835583,835464,835400
CZ75-Auto_Victoria,34354,34356,34355,34357,34353
CZ75-Auto_Xiangliu,34359,34361,34360,34362,34358
CZ75-Auto_Yellow_Jacket,34364,34366,34365,34367,34363
Desert_Eagle_Blaze,34389,34390,Null,Null,Null
Desert_Eagle_Blue_Ply,779188,779178,779217,779180,779237
Desert_Eagle_Bronze_Deco,34392,34394,34393,34395,34391
Desert_Eagle_Cobalt_Disruption,34396,34398,34397,Null,Null
Desert_Eagle_Code_Red,759243,759245,759244,759246,759242
Desert_Eagle_Conspiracy,34399,34401,34400,Null,Null
Desert_Eagle_Corinthian,34402,34404,34403,34405,Null
Desert_Eagle_Crimson_Web,34407,34409,34408,34410,34406
Desert_Eagle_Directive,34412,34414,34413,34415,34411
Desert_Eagle_Emerald_Jörmungandr,775261,776116,775940,775943,776467
Desert_Eagle_Fennec_Fox,871602,871700,871625,871945,871707
Desert_Eagle_Golden_Koi,34416,34417,Null,Null,Null
