Item,FN,MW,FT,WW,BS
M4A4_龍王_(Dragon_King),35353,35355,35354,35356,35352
MAC-10_Allure,781618,781589,781592,781549,781607
MAC-10_Aloha,35358,35360,35359,35361,35357
MAC-10_Amber_Fade,35362,35364,35363,35365,Null
MAC-10_Button_Masher,857667,857565,857602,857605,857634
MAC-10_Calf_Skin,762101,762095,762127,762128,762126
MAC-10_Candy_Apple,33821,35367,35366,Null,Null
MAC-10_Carnivore,35369,35371,35370,35372,35368
MAC-10_Classic_Crate,773775,773654,773679,773626,773672
MAC-10_Commuter,35374,35376,35375,35377,35373
MAC-10_Copper_Borre,775401,775993,774912,776475,776107
MAC-10_Curse,35379,35381,35380,35382,35378
MAC-10_Disco_Tech,779263,779192,779200,779256,779254
MAC-10_Echoing_Sands,927349,927284,927303,927359,927333
MAC-10_Ensnared,886989,886649,886607,886943,886987
MAC-10_Fade,35383,35384,Null,Null,Null
MAC-10_Gold_Brick,835860,835821,835865,836020,836002
MAC-10_Graven,35386,35388,35387,35389,35385
MAC-10_Heat,35391,35393,35392,35394,35390
MAC-10_Hot_Snakes,835964,835911,835930,835784,836033
MAC-10_Indigo,35396,35398,35397,35399,35395
MAC-10_Lapis_Gator,35401,33816,35402,35403,35400
MAC-10_Last_Dive,35405,35407,35406,35408,35404
MAC-10_Light_Box,956544,956473,956514,956487,956491
MAC-10_Malachite,35410,35412,35411,35413,35409
MAC-10_Monkeyflage,900537,900467,900516,900521,900471
MAC-10_Neon_Rider,35414,35416,35415,35417,Null
MAC-10_Nuclear_Garden,35419,35421,35420,35422,35418
MAC-10_Oceanic,35424,35426,35425,35427,35423
MAC-10_Palm,35429,35431,35430,35432,35428
MAC-10_Pipe_Down,763396,763293,763301,763297,763360
MAC-10_Propaganda,871288,871127,871129,871791,871619
MAC-10_Rangeen,35434,35436,35435,35437,35433
MAC-10_Red_Filigree,775958,776200,775951,776318,776790
MAC-10_Sakkaku,Null,Null,921475,921525,921425
MAC-10_Sienna_Damask,871140,871083,871128,871137,871206
MAC-10_Silver,33824,35438,Null,Null,Null
MAC-10_Stalker,776054,775979,775782,776026,775405
MAC-10_Strats,871358,871575,871363,871594,871506
MAC-10_Surfwood,774751,775067,774806,775649,774892
MAC-10_Tatter,35440,35442,35441,35443,35439
MAC-10_Tornado,35445,35447,35446,35448,35444
MAC-10_Toybox,871431,871603,871539,871339,871727
MAC-10_Ultraviolet,35450,35452,35451,35453,35449
MAC-10_Urban_DDPAT,35455,35457,35456,35458,35454
MAC-10_Whitefish,769230,769136,769221,769179,769236
MAG-7_BI83_Spectrum,871616,871492,871369,871635,871430
MAG-7_Bulldozer,35460,35462,35461,35463,35459
MAG-7_Carbon_Fiber,835367,835364,Null,Null,Null
MAG-7_Chainmail,775040,774846,775673,Null,Null
MAG-7_Cinquedea,776728,776418,776229,776260,776883
MAG-7_Cobalt_Core,35465,35467,35466,35468,35464
MAG-7_Copper_Coated,927307,927357,927331,927343,927355
MAG-7_Core_Breach,762250,762206,762205,762207,762235
MAG-7_Counter_Terrace,35470,35472,35471,35473,35469
MAG-7_Firestarter,35475,35477,35476,35478,35474
MAG-7_Foresight,886664,886611,886633,887031,886685
MAG-7_Hard_Water,35479,35481,35480,35482,Null
MAG-7_Hazard,35484,35486,35485,35487,35483
MAG-7_Heat,35489,35491,35490,35492,35488
MAG-7_Heaven_Guard,35493,35495,35494,35496,Null
MAG-7_Insomnia,921530,921437,921421,921431,921487
MAG-7_Irradiated_Alert,35498,35500,35499,35501,35497
MAG-7_Justice,779243,779183,779181,779269,779206
MAG-7_Memento,35502,35504,35503,Null,Null
MAG-7_Metallic_DDPAT,35505,35506,Null,Null,Null
MAG-7_Monster_Call,781611,781572,781614,781569,781608
MAG-7_Navy_Sheen,871135,871133,871126,871308,871205
MAG-7_Petroglyph,35507,35509,35508,35510,Null
MAG-7_Popdog,773662,773635,773665,773768,773683
MAG-7_Praetorian,35511,35513,35512,35514,Null
MAG-7_Prism_Terrace,871604,871858,871884,Null,Null
MAG-7_Rust_Coat,762050,762067,762079,762092,762049
MAG-7_SWAG-7,45265,45267,45266,45268,45264
MAG-7_Sand_Dune,35516,35518,35517,35519,35515
MAG-7_Seabird,35521,35523,35522,35524,35520
MAG-7_Silver,35525,35526,Null,Null,Null
MAG-7_Sonar,35527,35529,35528,35530,Null
MAG-7_Storm,35532,35534,35533,35535,35531
MP5-SD_Acid_Wash,775403,774828,775041,775642,775107
MP5-SD_Agent,773673,773686,773547,773633,773659
MP5-SD_Autumn_Twilly,871548,871351,871461,871802,871649
MP5-SD_Bamboo_Garden,775083,774818,774778,775581,775626
MP5-SD_Co-Processor,762208,762062,762130,762131,762129
MP5-SD_Condition_Zero,835552,835551,835442,835475,835379
MP5-SD_Desert_Strike,779266,779229,779176,779223,779231
MP5-SD_Dirt_Drop,762132,762055,762058,762099,762066
MP5-SD_Gauss,769186,769207,769183,769222,769419
MP5-SD_Kitbash,781636,781594,781568,781676,781637
MP5-SD_Liquidation,921500,921461,921426,921449,921452
MP5-SD_Necro_Jr.,886688,886643,886609,886691,886656
MP5-SD_Nitro,835362,835368,835341,835332,835530
MP5-SD_Oxide_Oasis,871778,871794,871452,871811,871815
MP5-SD_Phosphor,763278,763265,763322,763309,763325
MP7_Abyssal_Apparition,887027,886615,886610,886680,887016
MP7_Akoben,35547,35549,35548,35550,35546
MP7_Anodized_Navy,35551,35552,Null,Null,Null
MP7_Armor_Core,35554,35556,35555,35557,35553
MP7_Army_Recon,35559,35561,35560,35562,35558
MP7_Asterion,35564,33842,35565,35566,35563
MP7_Bloodsport,45269,45386,45270,45465,45464
MP7_Cirrus,35567,35569,35568,35570,33840
MP7_Fade,762133,762135,762134,Null,Null
MP7_Forest_DDPAT,35572,35574,35573,35575,35571
MP7_Full_Stop,35577,35579,35578,35580,35576
MP7_Groundwater,35582,35584,35583,35585,35581
MP7_Guerrilla,871426,871427,871255,871414,871490
MP7_Gunsmoke,35587,35589,35588,35590,35586
MP7_Impire,35591,35593,35592,35594,Null
MP7_Just_Smile,956552,956505,956496,956462,956572
MP7_Mischief,Null,769128,769166,769252,769144
MP7_Motherboard,762105,762094,762136,762069,762209
MP7_Nemesis,35595,35597,35596,Null,Null
MP7_Neon_Ply,775084,774989,775323,775614,775266
MP7_Ocean_Foam,35598,35599,Null,Null,Null
MP7_Olive_Plaid,35601,35603,35602,35604,35600
MP7_Orange_Peel,35606,35608,35607,35609,35605
MP7_Powercore,759264,759227,759212,759364,759263
MP7_Prey,871104,871081,871159,871444,871167
MP7_Scorched,776190,775128,774735,775018,774890
MP7_Skulls,Null,35611,35610,Null,Null
MP7_Special_Delivery,35613,35615,35614,35616,35612
MP7_Sunbaked,927336,927305,927290,927300,927294
MP7_Tall_Grass,835748,835441,835642,835925,835684
MP7_Teal_Blossom,775880,775725,774883,774885,776528
MP7_Urban_Hazard,33839,35619,35618,35620,35617
MP7_Vault_Heist,835536,835449,835478,835798,835793
MP7_Whiteout,35622,35624,35623,35625,35621
MP9_Airlock,35627,35629,35628,35630,35626
MP9_Army_Sheen,835347,835346,835373,Null,Null
MP9_Bioleak,33823,35633,35632,35634,35631
MP9_Black_Sand,45272,45274,45273,45275,45271
MP9_Bulldozer,45158,35637,35636,35638,35635
MP9_Capillary,759184,759208,759221,759266,759265
MP9_Dark_Age,35639,35641,35640,Null,Null
MP9_Dart,35643,35645,35644,35646,35642
MP9_Deadly_Poison,35648,35650,35649,35651,35647
MP9_Dry_Season,35653,35655,35654,35656,35652
MP9_Featherweight,921552,921428,921420,921419,921438
MP9_Food_Chain,857628,857529,857521,857639,857617
MP9_Goo,35658,35660,35659,35661,35657
MP9_Green_Plaid,35663,35665,35664,35666,35662
MP9_Hot_Rod,35667,35668,Null,Null,Null
MP9_Hydra,773771,773650,773687,773637,773684
MP9_Hypnotic,35669,35670,Null,Null,Null
MP9_Modest_Threat,763381,763300,763274,763328,763305
MP9_Mount_Fuji,871496,871495,871442,871493,871690
MP9_Music_Box,871218,871344,871317,871551,871512
MP9_Old_Roots,871272,871075,871274,871171,871513
MP9_Orange_Peel,35672,35674,35673,35675,35671
MP9_Pandora's_Box,35676,35678,35677,Null,Null
MP9_Rose_Iron,35679,35681,35680,Null,Null
MP9_Ruby_Poison_Dart,35683,35685,35684,35686,35682
MP9_Sand_Dashed,35688,35690,35689,35691,35687
MP9_Sand_Scale,35692,33845,35693,35694,Null
MP9_Setting_Sun,35696,35698,35697,35699,35695
MP9_Slide,762173,762100,762070,762103,762053
MP9_Stained_Glass,776034,775902,775934,776627,776871
MP9_Starlight_Protector,887008,887043,886657,887075,887053
MP9_Storm,35701,35703,35702,35704,35700
MP9_Wild_Lily,776185,776341,776582,775980,776021
Negev_Anodized_Navy,35737,35738,Null,Null,Null
Negev_Army_Sheen,35739,35741,35740,Null,Null
Negev_Boroque_Sand,775066,774913,774866,775208,774904
Negev_Bratatat,35743,35745,35744,35746,35742
Negev_Bulkhead,762137,762076,762060,762138,762210
Negev_CaliCamo,35748,35750,35749,35751,35747
Negev_Dazzle,Null,35754,35753,35755,35752
Negev_Desert-Strike,35757,35759,35758,35760,35756
Negev_Drop_Me,900575,900487,900536,900524,900539
Negev_Infrastructure,871360,871814,871284,871937,872020
Negev_Lionfish,45277,45279,45278,45280,45276
Negev_Loudmouth,Null,35763,35762,35764,35761
Negev_Man-o'-war,Null,35766,35765,Null,Null
Negev_Mjölnir,776532,776552,776076,776774,776233
Negev_Nuclear_Waste,35767,35769,35768,35770,Null
Negev_Palm,35772,35774,35773,35775,35771
Negev_Power_Loader,35777,35779,35778,35780,35776
Negev_Prototype,779268,779204,779207,779218,779220
Negev_Terrain,35781,35783,35782,35784,Null
Negev_Ultralight,781626,781579,781543,781542,781565
Negev_dev_texture,857623,857536,857537,857689,857626
Nova_Antique,35785,35787,35786,Null,Null
Nova_Army_Sheen,835436,835365,835414,Null,Null
Nova_Baroque_Orange,776747,776015,775026,776609,776655
Nova_Blaze_Orange,35789,35791,35790,35792,35788
Nova_Bloomstick,35794,35796,35795,35797,35793
Nova_Caged_Steel,35798,35800,35799,Null,Null
Nova_Candy_Apple,35801,35803,35802,Null,Null
Nova_Clear_Polymer,835599,835762,835634,835600,835440
Nova_Dark_Sigil,956509,956471,956464,956545,956521
Nova_Exo,35805,35807,35806,35808,35804
Nova_Forest_Leaves,35810,35812,35811,35813,35809
Nova_Ghost_Camo,35814,35816,35815,35817,Null
Nova_Gila,35818,35820,35819,Null,Null
Nova_Graphite,35821,35822,Null,Null,Null
Nova_Green_Apple,35823,35825,35824,Null,Null
Nova_Hyper_Beast,35827,35829,35828,35830,35826
Nova_Interlock,871322,871839,871893,871641,871828
Nova_Koi,35831,35833,35832,Null,Null
Nova_Mandrel,762080,762106,762078,762140,762139
Nova_Modern_Hunter,35835,35837,35836,35838,35834
Nova_Moon_in_Libra,35840,35842,35841,35843,35839
Nova_Plume,775801,775101,775108,775908,774798
Nova_Polar_Mesh,35845,35847,35846,35848,35844
Nova_Predator,35850,35852,35851,35853,35849
Nova_Quick_Sand,871217,871609,871299,871458,871515
Nova_Ranger,35855,35857,35856,35858,35854
Nova_Red_Quartz,871596,871388,871516,871664,Null
Nova_Rising_Skull,35860,35862,35861,35863,35859
Nova_Rust_Coat,835766,835694,835534,835825,835752
Nova_Sand_Dune,35865,35866,33810,35867,35864
Nova_Sobek's_Bite,927390,927358,927376,927337,927361
Nova_Tempest,35868,35870,35869,Null,Null
Nova_Toy_Soldier,759268,759228,759213,759269,759267
Nova_Walnut,35872,35874,35873,35875,35871
Nova_Wild_Six,45282,45283,45387,45284,45281
Nova_Windblown,857525,857543,857542,857600,857576
Nova_Wood_Fired,763385,763245,763261,763379,763275
P2000_Acid_Etched,779273,779261,779214,779245,779291
P2000_Amber_Fade,35898,35900,35899,35901,Null
P2000_Chainmail,35902,35904,35903,Null,Null
P2000_Coach_Class,35906,35908,35907,35909,35905
P2000_Corticera,35910,35912,35911,Null,Null
P2000_Dispatch,835456,835387,835431,835827,835549
P2000_Fire_Elemental,35914,35916,35915,35917,35913
P2000_Gnarled,781642,781556,781540,781581,781558
P2000_Granite_Marbleized,35919,35921,35920,35922,35918
P2000_Grassland,35924,35926,35925,35927,35923
P2000_Grassland_Leaves,35929,35931,35930,35932,35928
P2000_Handgun,35934,35936,35935,35937,35933
P2000_Imperial,35938,35940,35939,Null,Null
P2000_Imperial_Dragon,35942,35944,35943,35945,35941
P2000_Ivory,35947,35949,35948,35950,35946
P2000_Lifted_Spirits,887002,886637,886654,886616,886632
P2000_Obsidian,776180,775054,775300,775690,775162
P2000_Ocean_Foam,35951,35952,Null,Null,Null
P2000_Oceanic,35954,35956,35955,35957,35953
P2000_Panther_Camo,835459,835435,835685,835568,835919
P2000_Pathfinder,35958,35960,35959,Null,Null
P2000_Pulse,35962,35964,35963,35965,35961
P2000_Red_FragCam,35967,35969,35968,35970,35966
P2000_Scorpion,35971,35972,Null,Null,Null
P2000_Silver,35973,35974,Null,Null,Null
P2000_Space_Race,871680,871667,871672,871736,871613
P2000_Turf,35976,35977,33835,35978,35975
P2000_Urban_Hazard,45286,45288,45287,45289,45285
P2000_Wicked_Sick,921553,921469,921517,921442,921538
P2000_Woodsman,35980,35982,35981,35983,35979
P250_Apep's_Curse,927375,927362,927360,927289,927386
P250_Asiimov,Null,35986,35985,35987,35984
P250_Bengal_Tiger,836076,835823,835481,835862,835712
P250_Black_&_Tan,871522,871451,871359,871623,871387
P250_Bone_Mask,35989,35991,35990,35992,35988
P250_Boreal_Forest,35994,35995,33814,35996,35993
P250_Cartel,35998,36000,35999,36001,35997
P250_Cassette,781536,781557,781544,781566,781602
P250_Contaminant,835397,835561,835380,835574,835433
P250_Contamination,36003,36005,36004,36006,36002
P250_Crimson_Kimono,36008,36010,36009,36011,36007
P250_Cyber_Shell,857544,857520,857601,857677,857594
P250_Dark_Filigree,774716,775116,775078,775585,775345
P250_Digital_Architect,871918,871821,871820,871860,872001
P250_Drought,871138,871143,871091,871136,Null
P250_Exchanger,762141,762104,762142,762211,762251
P250_Facets,36013,36015,36014,36016,36012
P250_Facility_Draft,762088,762073,762068,762143,762175
P250_Forest_Night,835859,835385,835342,835415,835353
P250_Franklin,36017,36019,36018,36020,Null
P250_Gunsmoke,36022,36024,36023,36025,36021
P250_Hive,36026,36028,36027,Null,Null
P250_Inferno,773710,773669,773663,773745,773727
P250_Iron_Clad,36030,36032,36031,36033,36029
P250_Mehndi,36035,36037,36036,36038,36034
P250_Metallic_DDPAT,36039,36040,Null,Null,Null
P250_Mint_Kimono,36042,36044,36043,36045,36041
P250_Modern_Hunter,36047,36049,36048,36050,36046
P250_Muertos,36052,36054,36053,36055,36051
P250_Nevermore,763273,763240,763330,763416,Null
P250_Nuclear_Threat,36057,36059,36058,36060,36056
P250_Re.built,921550,921451,921418,921440,921445
P250_Red_Rock,36062,36064,36063,36065,36061
P250_Ripple,36067,36069,36068,36070,36066
P250_Sand_Dune,36072,36074,36073,36075,36071
P250_See_Ya_Later,36077,36079,36078,36080,36076
P250_Splash,36081,36083,36082,Null,Null
P250_Steel_Disruption,36084,36086,36085,Null,Null
P250_Supernova,36087,36089,36088,36090,Null
P250_Undertow,36091,36093,36092,Null,Null
P250_Valence,36095,36097,36096,36098,36094
P250_Verdigris,769203,769205,769165,769420,769217
P250_Vino_Primo,762145,762212,762146,762213,762144
P250_Visions,900492,900576,900518,900643,900520
P250_Whiteout,36100,36102,36101,36103,36099
P250_Wingshot,36105,36107,36106,36108,36104
P250_X-Ray,773423,773432,773435,Null,Null
P90_Ancient_Earth,835535,835628,835543,835437,835739
P90_Ash_Wood,36109,36111,36110,36112,Null
P90_Asiimov,36114,36116,36115,36117,36113
P90_Astral_Jörmungandr,776183,775139,774898,776302,776240
P90_Baroque_Red,776024,775115,775591,776476,775976
P90_Blind_Spot,36119,36121,36120,36122,36118
P90_Chopper,36124,36126,36125,36127,36123
P90_Cocoa_Rampage,835579,835403,835381,835681,835617
P90_Cold_Blooded,36128,36129,Null,Null,Null
P90_Death_Grip,36131,36133,36132,36134,36130
P90_Death_by_Kitty,Null,36136,36135,Null,Null
P90_Desert_DDPAT,871193,871087,871066,871297,871336
P90_Desert_Warfare,36138,36140,36139,36141,36137
P90_Elite_Build,36143,36145,36144,36146,36142
P90_Emerald_Dragon,36148,36150,36149,36151,36147
P90_Facility_Negative,762179,762147,762215,762182,762214
P90_Fallout_Warning,36153,36155,36154,36156,36152
P90_Freight,781588,781561,781538,781562,781585
P90_Glacier_Mesh,36158,36160,36159,36161,36157
P90_Grim,36163,36165,36164,36166,36162
P90_Leather,36168,36170,36169,36171,36167
P90_Module,36172,36174,36173,Null,Null
P90_Neoqueen,921481,921416,921493,921476,921443
P90_Nostalgia,773706,773697,773646,773790,773799
P90_Off_World,769168,769151,769146,769233,769226
P90_Run_and_Hide,836094,835654,835750,836027,836022
P90_Sand_Spray,36176,36178,36177,36179,36175
P90_ScaraB_Rush,927389,927364,927383,927371,927377
P90_Schematic,871754,871824,871780,871809,872048
P90_Scorched,36181,36183,36182,36184,36180
P90_Shallow_Grave,36186,36188,36187,36189,36185
P90_Shapewood,36191,36193,36192,36194,36190
P90_Storm,36196,36198,36197,36199,36195
P90_Sunset_Lily,775332,775264,775158,776209,775932
P90_Teardown,36201,36203,36202,36204,36200
P90_Tiger_Pit,835792,835720,835612,835795,835968
P90_Traction,759270,759192,759216,759223,759229
P90_Trigon,Null,36207,36206,36208,36205
P90_Vent_Rush,900470,900491,900532,900609,900599
P90_Verdant_Growth,871228,871216,871203,871310,871627
P90_Virus,36210,36212,36211,36213,36209
PP-Bizon_Anolis,871109,871139,871093,871307,871346
PP-Bizon_Antique,36215,36217,36216,36218,36214
PP-Bizon_Bamboo_Print,36220,36222,36221,36223,36219
PP-Bizon_Blue_Streak,36225,36227,36226,36228,36224
PP-Bizon_Brass,36230,36232,36231,36233,36229
PP-Bizon_Breaker_Box,871400,871374,871556,871807,Null
PP-Bizon_Candy_Apple,762074,762097,762077,Null,Null
PP-Bizon_Carbon_Fiber,36234,36235,Null,Null,Null
PP-Bizon_Chemical_Green,36237,36239,36238,36240,36236
PP-Bizon_Cobalt_Halftone,36241,36243,36242,36244,Null
PP-Bizon_Death_Rattle,Null,835468,835340,835406,835401
PP-Bizon_Embargo,775695,775298,775284,775288,775225
PP-Bizon_Facility_Sketch,762051,762081,762057,762149,762148
PP-Bizon_Forest_Leaves,36246,36248,36247,36249,36245
PP-Bizon_Fuel_Rod,36251,36253,36252,36254,36250
PP-Bizon_Harvester,36256,36258,36257,36259,36255
PP-Bizon_High_Roller,36261,36263,36262,36264,36260
PP-Bizon_Irradiated_Alert,36266,36268,36267,36269,36265
PP-Bizon_Judgement_of_Anubis,36271,36273,36272,36274,36270
PP-Bizon_Jungle_Slipstream,36276,36278,36277,36279,36275
PP-Bizon_Lumen,871422,871234,871245,871679,871324
PP-Bizon_Modern_Hunter,36281,36283,36282,36284,36280
PP-Bizon_Night_Ops,36286,36288,36287,36289,36285
PP-Bizon_Night_Riot,45291,45293,45292,45294,45290
PP-Bizon_Osiris,36291,36293,36292,36294,36290
PP-Bizon_Photic_Zone,36296,36298,36297,36299,36295
PP-Bizon_Runic,781601,781587,781537,781576,781545
PP-Bizon_Rust_Coat,36301,36303,36302,36304,36300
PP-Bizon_Sand_Dashed,36306,36308,36307,36309,36305
PP-Bizon_Seabird,774702,774704,774899,775524,775258
PP-Bizon_Space_Cat,886999,886670,886666,887011,886993
PP-Bizon_Urban_Dashed,36311,36313,36312,36314,36310
PP-Bizon_Water_Sigil,36316,36318,36317,36319,36315
R8_Revolver_Amber_Fade,36326,36328,36327,36329,Null
R8_Revolver_Banana_Cannon,921533,921423,921511,921516,921509
R8_Revolver_Blaze,871112,871645,Null,Null,Null
R8_Revolver_Bone_Forged,779252,779190,779184,779284,779191
R8_Revolver_Bone_Mask,36331,36333,36332,36334,36330
R8_Revolver_Canal_Spray,776075,774959,774874,775512,775275
R8_Revolver_Crazy_8,900616,900527,900534,900571,900498
R8_Revolver_Crimson_Web,36336,36338,36337,36339,36335
R8_Revolver_Desert_Brush,871082,871078,871068,871301,871280
R8_Revolver_Fade,36340,36342,36341,36343,Null
R8_Revolver_Grip,45296,45298,45297,45299,45295
R8_Revolver_Inlay,927314,927313,927309,927330,927293
R8_Revolver_Junk_Yard,857669,857582,857541,857539,857644
R8_Revolver_Llama_Cannon,36345,36347,36346,36348,36344
R8_Revolver_Memento,775179,775099,774988,775997,775900
R8_Revolver_Night,835986,835652,835363,835392,835566
R8_Revolver_Nitro,762236,762056,762087,762151,762150
R8_Revolver_Reboot,36350,36352,36351,36353,36349
R8_Revolver_Skull_Crusher,Null,Null,769197,769421,769142
R8_Revolver_Survivalist,759272,759193,759273,759362,759271
SCAR-20_Army_Sheen,36356,36358,36357,Null,Null
SCAR-20_Assault,773670,773648,773614,773763,773658
SCAR-20_Bloodsport,36359,36361,36360,36362,Null
SCAR-20_Blueprint,36364,36366,36365,36367,36363
SCAR-20_Brass,775999,775877,775665,776019,775878
SCAR-20_Carbon_Fiber,36368,36369,Null,Null,Null
SCAR-20_Cardiac,36371,36373,36372,36374,36370
SCAR-20_Contractor,36376,36378,36377,36379,36375
SCAR-20_Crimson_Web,36381,36383,36382,36384,36380
SCAR-20_Cyrex,36386,36388,36387,36389,36385
SCAR-20_Emerald,36390,36391,Null,Null,Null
SCAR-20_Enforcer,779276,779193,779203,779249,779239
SCAR-20_Fragments,921424,921434,921415,921544,921472
SCAR-20_Green_Marine,36393,36395,36394,36396,36392
SCAR-20_Grotto,36398,36400,36399,36401,36397
SCAR-20_Jungle_Slipstream,36403,36405,36404,36406,36402
SCAR-20_Magna_Carta,835359,835614,835424,835666,835649
SCAR-20_Outbreak,36408,36410,36409,36411,36407
SCAR-20_Palm,36413,36415,36414,36416,36412
SCAR-20_Poultrygeist,886634,886662,886614,886690,886964
SCAR-20_Powercore,36418,36420,36419,36421,36417
SCAR-20_Sand_Mesh,36423,36425,36424,36426,36422
SCAR-20_Splash_Jam,36428,36430,36429,36431,36427
SCAR-20_Stone_Mosaico,775523,774777,774713,775293,775408
SCAR-20_Storm,36433,36435,36434,36436,36432
SCAR-20_Torn,774810,775082,774976,775487,Null
SG_553_Aerial,36438,36440,36439,36441,36437
SG_553_Aloha,45388,45389,45301,45302,45300
SG_553_Anodized_Navy,36442,36443,Null,Null,Null
SG_553_Army_Sheen,36444,36446,36445,Null,Null
SG_553_Atlas,36448,36450,36449,36451,36447
SG_553_Barricade,775271,774856,774703,774962,775531
SG_553_Bleached,871164,871157,871108,871330,871089
SG_553_Bulldozer,36453,36455,36454,36456,36452
SG_553_Candy_Apple,774789,774699,775175,775854,775230
SG_553_Colony_IV,775807,774978,775360,775364,775783
SG_553_Cyberforce,921524,921430,921439,921433,921457
SG_553_Cyrex,36458,36460,36459,36461,36457
SG_553_Damascus_Steel,36463,36465,36464,36466,36462
SG_553_Danger_Close,763319,763303,763246,763314,763262
SG_553_Darkwing,779199,779182,779208,779228,779230
SG_553_Desert_Blossom,871156,871376,871200,871676,871465
SG_553_Dragon_Tech,900603,900502,900528,900618,900531
SG_553_Fallout_Warning,36468,36470,36469,36471,36467
SG_553_Gator_Mesh,36473,36475,36474,36476,36472
SG_553_Hazard_Pay,871852,871827,871894,872065,872064
SG_553_Heavy_Metal,857657,857578,857546,857630,857535
SG_553_Hypnotic,835816,835817,Null,Null,Null
SG_553_Integrale,762152,762217,762216,762153,762252
SG_553_Lush_Ruins,835664,835393,835439,835669,835726
SG_553_Ol'_Rusty,781555,781539,781546,781681,781550
SG_553_Phantom,36478,36480,36479,36481,36477
SG_553_Pulse,Null,36484,36483,36485,36482
SG_553_Tiger_Moth,36487,36489,36488,36490,36486
SG_553_Tornado,36492,36494,36493,36495,36491
SG_553_Traveler,36497,36499,36498,36500,36496
SG_553_Triarch,36502,36504,36503,36505,36501
SG_553_Ultraviolet,36507,36509,36508,36510,36506
SG_553_Wave_Spray,36512,36514,36513,36515,36511
SG_553_Waves_Perforated,36517,36519,36518,36520,36516
SSG_08_Abyss,36522,36524,36523,36525,36521
SSG_08_Acid_Fade,36526,Null,Null,Null,Null
SSG_08_Azure_Glyph,927369,927299,927291,927326,927323
SSG_08_Big_Iron,36528,36530,36529,36531,36527
SSG_08_Blood_in_the_Water,36532,36534,36533,Null,Null
SSG_08_Bloodshot,Null,776411,775168,775314,775967
SSG_08_Blue_Spruce,36536,36538,36537,36539,36535
SSG_08_Carbon_Fiber,871549,871703,Null,Null,Null
SSG_08_Dark_Water,Null,36541,36540,Null,Null
SSG_08_Death's_Head,36543,36545,36544,36546,36542
SSG_08_Death_Strike,871782,871480,871699,871923,871766
SSG_08_Detour,36547,36549,36548,36550,Null
SSG_08_Dezastre,956500,956481,956474,956498,956470
SSG_08_Dragonfire,36552,36554,36553,36555,36551
SSG_08_Fever_Dream,779226,779224,779197,779354,779247
SSG_08_Ghost_Crusader,36557,36559,36558,36560,36556
SSG_08_Hand_Brake,762154,762156,762155,762157,762218
SSG_08_Jungle_Dashed,835903,835668,835337,835531,835725
SSG_08_Lichen_Dashed,36562,36564,36563,36565,36561
SSG_08_Mainframe_001,781657,781553,781554,781548,781580
SSG_08_Mayan_Dreams,36567,36569,36568,36570,36566
SSG_08_Necropos,36572,36574,36573,36575,36571
SSG_08_Orange_Filigree,775730,775004,775253,776448,775963
SSG_08_Parallax,835829,835609,835395,835576,835618
SSG_08_Prey,871199,871113,871119,871190,871448
SSG_08_Red_Stone,776058,774776,774700,775324,775805
SSG_08_Sand_Dune,36577,36579,36578,36580,36576
SSG_08_Sea_Calico,775077,775957,775889,776751,776777
SSG_08_Slashed,Null,Null,36582,36583,36581
SSG_08_Spring_Twilly,871062,871238,871258,871674,871470
SSG_08_Threat_Detected,835467,835428,835454,835626,835423
SSG_08_Tropical_Storm,36585,36587,36586,36588,36584
SSG_08_Turbo_Peek,871636,871654,871433,871447,871638
Sawed-Off_Amber_Fade,36589,36591,36590,36592,Null
Sawed-Off_Analog_Input,956480,956486,956476,956582,956591
Sawed-Off_Apocalypto,779296,779248,779210,779262,779253
Sawed-Off_Bamboo_Shadow,36594,36596,36595,36597,36593
Sawed-Off_Black_Sand,763317,763292,763258,763270,763313
Sawed-Off_Brake_Light,762158,762237,Null,Null,Null
Sawed-Off_Clay_Ambush,835562,835539,835446,835538,835625
Sawed-Off_Copper,36599,36601,36600,36602,36598
Sawed-Off_Devourer,759275,759276,759365,759429,759274
Sawed-Off_First_Class,36604,36606,36605,36607,36603
Sawed-Off_Forest_DDPAT,36609,36611,36610,36612,36608
Sawed-Off_Fubar,Null,Null,Null,36614,36613
Sawed-Off_Full_Stop,36616,36618,36617,36619,36615
Sawed-Off_Highwayman,36621,36623,36622,36624,36620
Sawed-Off_Irradiated_Alert,36626,36628,36627,36629,36625
Sawed-Off_Jungle_Thicket,775017,774679,774784,775209,775223
Sawed-Off_Kiss♥Love,900607,900485,900497,900559,900596
Sawed-Off_Limelight,36631,36633,36632,36634,36630
Sawed-Off_Morris,36636,36638,36637,36639,36635
Sawed-Off_Mosaico,36641,36643,36642,36644,36640
Sawed-Off_Orange_DDPAT,36646,36648,36647,36649,36645
Sawed-Off_Origami,36651,36653,36652,36654,36650
Sawed-Off_Parched,871158,871182,871067,871065,871278
Sawed-Off_Rust_Coat,36656,36658,36657,36659,36655
Sawed-Off_Sage_Spray,36661,36663,36662,36664,36660
Sawed-Off_Serenity,36666,36668,36667,36669,36665
Sawed-Off_Snake_Camo,36671,36673,36672,36674,36670
Sawed-Off_Spirit_Board,887014,886644,886617,886672,886641
Sawed-Off_The_Kraken,36675,36677,36676,36678,Null
Sawed-Off_Wasteland_Princess,36680,36682,36681,36683,36679
