Item,Collection,Rarity,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS
AWP_Duality,Revolution,Classified,,,2024-03-22 19:41:15,USD,14.03,6.93,3.07,3.35,2.34
USP-S_Cortex,Clutch,Classified,,,2024-03-22 20:38:21,USD,10.00,4.16,2.34,1.79,1.64
