Item,Collection,Rarity,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS,FN_Site,MW_Site,FT_Site,WW_Site,BS_Site
M249_O.S.I.P.R.,Snakebite,Mil-Spec,0.1,0.7,2024-03-21 21:17:04,USD,0.4116,0.3201,0.1372,0.2037,0.1078,CS2GO,Halo,CS2GO,Halo,CS2GO
Nova_Windblown,Snakebite,Mil-Spec,,,2024-03-22 09:49:39,USD,0.3822,0.2134,0.1274,0.2037,0.1274,CS2GO,Halo,CS2GO,Halo,CS2GO
R8_Revolver_Junk_Yard,Snakebite,Mil-Spec,,,2024-03-22 12:47:18,USD,0.4753,0.1827,0.1372,0.1218,0.1176,Halo,CS2GOsteam,CS2GO,CS2GOsteam,CS2GO
