Coll_ID,Item_ID,Price,Float,Condition,Name,Site,Timestamp,Collection
114,13,5.9385,0.03028,FN,AWP_Black_Nile,Money,2024-04-18 11:12:17,Anubis
115,50,6.4692,0.0028,FN,AK-47_Steel_Delta,Port,2024-04-18 10:59:56,Anubis
116,60,6.48,0.0198,FN,AWP_Black_Nile,Port,2024-04-18 10:59:56,Anubis
117,106,6.88,0.00313,FN,AK-47_Steel_Delta,DM,2024-04-18 11:03:55,Anubis
118,105,6.88,0.00683,FN,AK-47_Steel_Delta,DM,2024-04-18 11:03:55,Anubis
119,104,6.88,0.00913,FN,AWP_Black_Nile,DM,2024-04-18 11:03:55,Anubis
120,54,7.3656,0.0068,FN,Tec-9_Mummy's_Rot,Port,2024-04-18 10:59:56,Anubis
121,63,7.7328,0.0238,FN,MAG-7_Copper_Coated,Port,2024-04-18 10:59:56,Anubis
122,61,8.1,0.0208,FN,MAG-7_Copper_Coated,Port,2024-04-18 10:59:56,Anubis
123,56,8.64,0.0088,FN,AK-47_Steel_Delta,Port,2024-04-18 10:59:56,Anubis
124,53,8.856,0.0058,FN,MAG-7_Copper_Coated,Port,2024-04-18 10:59:56,Anubis
125,52,9.2232,0.0048,FN,MAG-7_Copper_Coated,Port,2024-04-18 10:59:56,Anubis
126,32,10.0,0.0071118,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21,Anubis
127,31,11.0,0.0044568,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21,Anubis
128,108,12.92,0.00543,FN,AK-47_Steel_Delta,DM,2024-04-18 11:03:55,Anubis
129,114,12.92,0.00603,MW,Tec-9_Mummy's_Rot,DM,2024-04-18 11:04:01,Anubis
130,109,12.92,0.00643,BS,AWP_Black_Nile,DM,2024-04-18 11:04:01,Anubis
131,129,13.0,0.00423,MW,AWP_Black_Nile,DM,2024-04-18 11:04:01,Anubis
132,111,13.0,0.00433,MW,AWP_Black_Nile,DM,2024-04-18 11:04:01,Anubis
133,110,13.0,0.00453,MW,AWP_Black_Nile,DM,2024-04-18 11:04:01,Anubis
134,113,13.0,0.00463,FN,AWP_Black_Nile,DM,2024-04-18 11:04:01,Anubis
135,115,13.5,0.00273,FT,AK-47_Steel_Delta,DM,2024-04-18 11:04:01,Anubis
136,49,15.1092,0.0018,FN,MAG-7_Copper_Coated,Port,2024-04-18 10:59:56,Anubis
137,51,15.4008,0.0038,FN,Tec-9_Mummy's_Rot,Port,2024-04-18 10:59:56,Anubis
138,150,20.0,0.00283,FT,AK-47_Steel_Delta,DM,2024-04-18 11:04:18,Anubis
139,167,38.99,0.00053,MW,AWP_Black_Nile,DM,2024-04-18 11:04:18,Anubis
140,107,40.0,0.00023,BS,AWP_Black_Nile,DM,2024-04-18 11:03:55,Anubis
141,48,172.8,0.0008,FN,AWP_Black_Nile,Port,2024-04-18 10:59:56,Anubis
