Item,Collection,Rarity,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS,FN_Site,MW_Site,FT_Site,WW_Site,BS_Site
P90_Neoqueen,Revolution,Restricted,0.0,0.6,2024-04-04 16:29:09,USD,1.6235,0.7905,0.3995,0.391,0.425,Stash,Stash,Stash,Stash,Stash
M4A1-S_Emphorosaur_S,Revolution,Restricted,0.0,0.8,2024-04-04 16:46:31,USD,3.332,1.4705,0.6375,0.901,0.5355,Stash,Stash,Stash,Stash,Stash
Glock-18_Umbral_Rabbit,Revolution,Restricted,0.0,0.75,2024-04-04 16:48:46,USD,1.7935,0.9775,0.408,0.391,0.2975,Stash,Stash,Stash,Stash,Stash
Nova_Sobek's_Bite,Anubis,Restricted,0.0,1.0,2024-04-04 17:27:10,USD,13.2515,8.959,5.576,4.7175,3.842,Stash,Stash,Stash,Stash,Stash
