Index,Price,Float,Condition,Name,Site
1,1.97,0.3950676620006561,WW,P250_Nevermore,Halo
2,1.97,0.3898064792156219,WW,P250_Nevermore,Halo
3,1.97,0.3914265334606170,WW,P250_Nevermore,Halo
