Item,Collection,Rarity,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS
AWP_Duality,Revolution,Classified,,,2024-03-22 20:34:05,USD,12.56,5.30,3.02,5.14,2.43
USP-S_Cortex,Clutch,Classified,,,2024-03-22 20:37:24,USD,9.51,3.73,2.16,2.13,2.04
