Item,Collection,Rarity,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS
AWP_Duality,Revolution,Classified,,,2024-03-22 19:41:15,USD,14.64,7.38,3.36,3.81,2.62
USP-S_Cortex,Clutch,Classified,,,2024-03-22 20:38:21,USD,11.35,4.25,2.39,2.12,1.93
