Item,Collection,Rarity,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS,FN_Site,MW_Site,FT_Site,WW_Site,BS_Site
AWP_Duality,Revolution,Classified,0.0,0.8,2024-04-11 23:48:11,USD,10.8349,5.3156,2.425,2.6675,1.9012,A_DM,A_DM,A_DM,A_DM,A_DM
P2000_Wicked_Sick,Revolution,Classified,0.0,1.0,2024-04-11 23:49:12,USD,11.5808,5.5193,2.2213,1.5035,1.0767,A_Port,A_DM,A_DM,A_DM,A_DM
UMP-45_Wild_Child,Revolution,Classified,0.0,1.0,2024-04-11 23:49:56,USD,11.6109,5.6551,2.2352,1.5132,1.1931,A_DM,A_DM,A_Port,A_DM,A_DM
