Item,Collection,Rarity,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS
FAMAS_Crypsis,Prisma,Restricted,,,2024-04-01 13:02:57,USD,0.59,0.34,0.15,0.15,0.14
AK-47_Uncharted,Prisma,Restricted,0.00,0.75,2024-04-01 13:05:02,USD,1.27,0.53,0.30,0.60,0.29
